2026-08-31 21:20:51 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\region_share.png
2026-08-31 21:20:51 | INFO     | exporters.pdf_exporter | PDF report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.pdf
2026-08-31 21:20:51 | INFO     | exporters.excel_exporter | Excel report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.xlsx
2026-08-31 21:20:51 | INFO     | pipeline | === Pipeline finished ===
2026-08-31 21:22:32 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\sales.csv
2026-08-31 21:22:32 | INFO     | data_sources.csv_source | Extracted 6 records from CSV
2026-08-31 21:22:32 | INFO     | data_sources.sql_source | Running SQL extraction (since=None)
2026-08-31 21:22:32 | INFO     | data_sources.sql_source | Extracted 3 records from SQL
2026-08-31 21:22:32 | INFO     | pipeline | === Pipeline started ===
2026-08-31 21:22:32 | INFO     | validators | Schema validation: 9 valid, 0 rejected
2026-08-31 21:22:32 | INFO     | validators | Outlier detection on 'revenue': 0 flagged
2026-08-31 21:22:32 | INFO     | pipeline | Validation summary: 1 errors, 0 warnings
2026-08-31 21:22:32 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_by_category.png
2026-08-31 21:22:32 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_trend.png
2026-08-31 21:22:32 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\region_share.png
2026-08-31 21:22:33 | INFO     | exporters.pdf_exporter | PDF report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.pdf
2026-08-31 21:22:33 | INFO     | exporters.excel_exporter | Excel report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.xlsx
2026-08-31 21:22:33 | INFO     | pipeline | === Pipeline finished ===
2026-08-31 21:22:36 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\sales.csv
2026-08-31 21:22:36 | INFO     | data_sources.csv_source | Extracted 6 records from CSV
2026-08-31 21:22:36 | INFO     | data_sources.sql_source | Running SQL extraction (since=None)
2026-08-31 21:22:36 | INFO     | data_sources.sql_source | Extracted 3 records from SQL
2026-08-31 21:22:36 | INFO     | pipeline | === Pipeline started ===
2026-08-31 21:22:36 | INFO     | validators | Schema validation: 9 valid, 0 rejected
2026-08-31 21:22:36 | INFO     | validators | Outlier detection on 'revenue': 0 flagged
2026-08-31 21:22:36 | INFO     | pipeline | Validation summary: 1 errors, 0 warnings
2026-08-31 21:22:36 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_by_category.png
2026-08-31 21:22:36 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_trend.png
2026-08-31 21:22:36 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\region_share.png
2026-08-31 21:22:36 | INFO     | exporters.pdf_exporter | PDF report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.pdf
2026-08-31 21:22:36 | INFO     | exporters.excel_exporter | Excel report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.xlsx
2026-08-31 21:22:36 | INFO     | pipeline | === Pipeline finished ===
2026-08-31 21:22:37 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\sales.csv
2026-08-31 21:22:37 | INFO     | data_sources.csv_source | Extracted 6 records from CSV
2026-08-31 21:22:37 | INFO     | data_sources.sql_source | Running SQL extraction (since=None)
2026-08-31 21:22:37 | INFO     | data_sources.sql_source | Extracted 3 records from SQL
2026-08-31 21:22:37 | INFO     | pipeline | === Pipeline started ===
2026-08-31 21:22:37 | INFO     | validators | Schema validation: 9 valid, 0 rejected
2026-08-31 21:22:37 | INFO     | validators | Outlier detection on 'revenue': 0 flagged
2026-08-31 21:22:37 | INFO     | pipeline | Validation summary: 1 errors, 0 warnings
2026-08-31 21:22:38 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_by_category.png
2026-08-31 21:22:38 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\revenue_trend.png
2026-08-31 21:22:38 | INFO     | charts | Saved chart: C:\Users\user\PycharmProjects\AutomatedReportSystem\output\charts\region_share.png
2026-08-31 21:22:38 | INFO     | exporters.pdf_exporter | PDF report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.pdf
2026-08-31 21:22:38 | INFO     | exporters.excel_exporter | Excel report written to C:\Users\user\PycharmProjects\AutomatedReportSystem\output\Monthly_Sales_Report.xlsx
2026-08-31 21:22:38 | INFO     | pipeline | === Pipeline finished ===
2026-08-31 21:30:32 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\uploads\9777e0ea1901494db8c5ac9ca4d26924_sales.csv
2026-08-31 21:30:34 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\uploads\cb494167085b4651b2f6b7a288de4d16_sales.csv
2026-08-31 21:42:16 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\uploads\6624b3df179441de896d4b9cb2f63571_28e1f1d26ba24becb049dcb554cba3bc.csv
2026-08-31 21:42:17 | INFO     | data_sources.csv_source | Extracting CSV data from C:\Users\user\PycharmProjects\AutomatedReportSystem\data\uploads\5a509302f5bb4b84ba36059c2caf3e2e_28e1f1d26ba24becb049dcb554cba3bc.csv
2026-08-31 21:52:28 | INFO     | api.main | [93981ca5] GET /docs -> 200 (0.7ms)
2026-08-31 21:52:28 | INFO     | api.main | [283ee51e] GET /openapi.json -> 200 (47.1ms)
2026-08-31 21:56:18 | INFO     | api.main | [6422ce54] GET /api/v1/reports -> 200 (21.6ms)
2026-08-31 21:56:34 | INFO     | api.main | [92a0e735] GET /api/v1/jobs -> 200 (3.4ms)
